255,1
579,0
610,1
686,1
735,1
762,1
875,1
971,1
1122,1
1213,1
1223,1
1320,1
1347,0
1593,1
1607,1
1858,0
1885,1
2096,1
2112,1
2135,0
2140,1
2179,0
2206,0
2216,0
2223,1
2355,0
2401,1
2496,0
2609,0
2612,0
2681,0
2787,0
2832,0
2882,0
2980,0
3008,1
3146,0
3155,1
3194,1
3217,1
3383,0
3475,0
3580,2
3598,1
3717,0
3730,1
3873,0
3879,2
3902,0
3966,1
4030,2
4046,1
4068,1
4097,1
4242,1
4495,1
4956,0
4983,1
5048,0
5098,0
5219,0
5252,1
5263,0
5272,1
5468,0
5477,1
5691,0
5700,1
5716,0
5732,0
5886,0
5922,0
5974,0
6012,0
6234,1
6357,0
6367,1
6387,1
6566,1
6605,0
6609,1
6693,1
6816,1
6918,1
6957,0
6976,0
7058,1
7298,0
7438,1
7635,0
7784,0
7836,0
7948,1
7953,0
7960,1
8019,1
8071,1
8109,0
8416,0
8473,1
8501,0
8514,0
8595,0
8641,0
8681,1
8698,0
8713,1
8802,0
8872,1
8889,1
9153,0
9191,0
9210,0
9287,0
9297,1
9355,1
9369,1
9434,0
9450,1
9480,1
9622,0
9636,1
9708,0
9712,1
9781,1
9875,0
9906,0
9956,0
10001,0
10016,1
10023,1
10103,1
10112,1
10124,0
10254,1
10318,1
10462,1
10525,0
10552,0
10594,0
10626,1
10694,1
10760,1
10890,0
10913,0
11031,0
11164,0
11226,0
11390,0
11405,0
11449,1
11460,1
11480,1
11633,1
11954,1
11983,1
12050,1
12064,1
12084,1
12094,1
12256,1
12314,1
12370,0
12578,1
12832,0
12834,1
12842,0
13005,1
13166,0
13179,0
13224,1
13334,0
13355,0
13382,1
13438,0
13723,0
13834,1
13871,0
14064,0
14137,0
14145,0
14726,0
14751,0
14756,0
14792,0
15106,1
15143,1
15188,1
15297,1
15310,0
15363,0
15389,0
15456,0
15487,1
15502,0
15535,1
15576,1
15678,1
15770,1
15852,1
15939,0
15953,0
16069,1
16097,1
16150,1
16151,0
16227,1
16257,0
16350,0
16452,1
16456,0
16525,1
16534,0
16609,0
16662,1
16682,0
16713,0
16782,0
16824,1
17022,0
17089,0
17252,0
17260,0
17316,0
17386,1
17411,0
17545,0
17753,1
17984,1
18015,1
18151,1
18209,1
18236,0
18322,0
18410,1
18605,0
18615,1
18636,0
18750,1
18755,1
18789,0
18809,1
19100,0
19284,0
19339,1
19429,1
19445,1
19446,0
19458,0
19479,1
19725,0
19735,1
20014,2
20138,2
20166,1
20282,0
20295,1
20406,0
20508,0
20539,1
20544,0
20549,0
20588,1
20800,1
20871,0
20897,1
20944,1
20989,0
21006,1
21011,0
21057,1
21270,2
